"product_id","product_name","product_description","product_category_id","product_category_name","product_sku","product_price_value","product_price_currency_code","product_price_currency_name","client_id","client_name","client_birthdate","client_age","client_gender","client_phone_number","client_email","client_registration_dttm","client_address_country","client_address_region","client_address_city","client_address_street","client_address_house","client_address_postal_code"
"2411f42039ef45e68dcd7dc3ab035539",Шапка детская красная 36 размер лён,,2,Детская одежда,SDK3RL514,9567,RUB,Российский рубль,"6002bea22b914c5f82fde93c21560d76",Айги Геннадий Николаевич,1969-03-21,57.0,М,+79034460640,,2024-03-07 17:50:52.000 +0300,Россия,Ростовская область,Ростов-на-Дону,улица Каменщиков,д. 163,"755757"
"0993a68c51a04d66abb0b14c6af407f5",Толстовка детская голубая 33 размер вискоза,Толстовка детская голубая 33 размер вискоза,2,Детская одежда,TDG3RV264,2086,RUB,Российский рубль,"52de5284329a4651a1866c2679ccfd4e",Аксаков Сергей Тимофеевич,1948-02-06,78.0,Ж,+79151655037,,2023-01-18 12:44:32.000 +0300,Россия,Магаданская область,г. Магадан,улица Маяковского,дом 115,"732928"
"2dfa0c6365b64f328bce00573b218485",Куртка мужская голубая 37 размер натуральный хлопок,Куртка мужская голубая 37 размер натуральный хлопок,0,Мужская одежда,KMG3RNH689,7338,RUB,Российский рубль,"52de5284329a4651a1866c2679ccfd4e",Аксаков Сергей Тимофеевич,1948-02-06,78.0,Ж,+79151655037,,2023-01-18 12:44:32.000 +0300,Россия,Магаданская область,г. Магадан,улица Маяковского,дом 115,"732928"
"8d192aa193c443fa833c980a79cbee72",Ночнушка мужская голубая размер M натуральный хлопок,,0,Мужская одежда,NMGRMNH196,1061,RUB,Российский рубль,"52de5284329a4651a1866c2679ccfd4e",Аксаков Сергей Тимофеевич,1948-02-06,78.0,Ж,+79151655037,,2023-01-18 12:44:32.000 +0300,Россия,Магаданская область,г. Магадан,улица Маяковского,дом 115,"732928"
dea76296f7ea45f3a210d23955b87ae0,Шапка детская красная размер L вискоза,Шапка детская красная размер L вискоза,2,Детская одежда,SDKRLV303,7370,RUB,Российский рубль,"52de5284329a4651a1866c2679ccfd4e",Аксаков Сергей Тимофеевич,1948-02-06,78.0,Ж,+79151655037,,2023-01-18 12:44:32.000 +0300,Россия,Магаданская область,г. Магадан,улица Маяковского,дом 115,"732928"
"544df534c12548b3aa520ec2da0dfb52",Ночнушка мужская красная размер XL натуральная шерсть,Ночнушка мужская красная размер XL натуральная шерсть,0,Мужская одежда,NMKRXNS251,1101,RUB,Российский рубль,aaf707ea157f46bd8e0acbd961e0f1af,Львова Надежда,1943-11-11,82.0,М,+79509884662,NL_vova18@ya.ru,2023-10-22 11:00:42.000 +0300,Россия,Саратовская область,Саратов,ул. Каменщиков,д. 172,"613687"
"72ea394c0e5c48e182366f54df0f4b97",Пижама мужская оранжевая 37 размер лён,,0,Мужская одежда,PMO3RL279,827,RUB,Российский рубль,aaf707ea157f46bd8e0acbd961e0f1af,Львова Надежда,1943-11-11,82.0,М,+79509884662,NL_vova18@ya.ru,2023-10-22 11:00:42.000 +0300,Россия,Саратовская область,Саратов,ул. Каменщиков,д. 172,"613687"
"0653bfaf0a4d466587082c7e214312dc",Ветровка детская красная 38 размер лён,,2,Детская одежда,VDK3RL157,6658,RUB,Российский рубль,ddc4b0c5ac4842699d8a46a62d172be1,Матвеева Новелла Николаевна,1931-12-04,94.0,Ж,+79092575844,,2023-11-12 01:41:23.000 +0300,Россия,Тамбовская область,город Тамбов,ул. 50-летия Октября,д. 111,"394443"
"28e5202a71e2468b8c94202300e9b306",Толстовка детская синяя 35 размер лён,Толстовка детская синяя 35 размер лён,2,Детская одежда,TDS3RL387,9638,RUB,Российский рубль,ddc4b0c5ac4842699d8a46a62d172be1,Матвеева Новелла Николаевна,1931-12-04,94.0,Ж,+79092575844,,2023-11-12 01:41:23.000 +0300,Россия,Тамбовская область,город Тамбов,ул. 50-летия Октября,д. 111,"394443"
"700677fd9c4744cdaef897005a9c722a",Шапка мужская красная 39 размер лён,,0,Мужская одежда,SMK3RL398,1935,RUB,Российский рубль,ddc4b0c5ac4842699d8a46a62d172be1,Матвеева Новелла Николаевна,1931-12-04,94.0,Ж,+79092575844,,2023-11-12 01:41:23.000 +0300,Россия,Тамбовская область,город Тамбов,ул. 50-летия Октября,д. 111,"394443"
"1713b77422d24cf6be8786ff0a30aa43",Куртка мужская красная 36 размер натуральная шерсть,Куртка мужская красная 36 размер натуральная шерсть,0,Мужская одежда,KMK3RNS625,905,RUB,Российский рубль,"707513ba1fab4d07badad193d13afd35",Орлов Владимир,1948-08-08,78.0,Ж,+79516997517,,2024-07-20 06:52:39.000 +0300,Россия,Новгородская область,город Великий Новгород,улица Пушкина,"71","738324"
"6bc701d8a9da44a29bf8cd2da4e16b55",Ночнушка женская зелная 39 размер лён,,1,Женская одежда,NZZ3RL652,217,RUB,Российский рубль,"707513ba1fab4d07badad193d13afd35",Орлов Владимир,1948-08-08,78.0,Ж,+79516997517,,2024-07-20 06:52:39.000 +0300,Россия,Новгородская область,город Великий Новгород,улица Пушкина,"71","738324"
"43b1c35c3f66460a931a4cab4e90fe6d",Ночнушка мужская розовая 32 размер вискоза,Ночнушка мужская розовая 32 размер вискоза,0,Мужская одежда,NMR3RV165,315,RUB,Российский рубль,"50db5f8d87b54d1b8a2fa239fd536680",Кайсаров Михаил Сергеевич,1939-10-09,86.0,М,+79019535402,MKaisarov74@ya.ru,2023-09-18 18:18:51.000 +0300,Россия,Амурская область,Благовещенск,ул. Пушкина,"37","225222"
"4a41abdf193344eebbcdc7df7defd85f",Футболка женская жёлтая 34 размер вискоза,,1,Женская одежда,FZZ3RV915,8002,RUB,Российский рубль,"50db5f8d87b54d1b8a2fa239fd536680",Кайсаров Михаил Сергеевич,1939-10-09,86.0,М,+79019535402,MKaisarov74@ya.ru,2023-09-18 18:18:51.000 +0300,Россия,Амурская область,Благовещенск,ул. Пушкина,"37","225222"
cb48120cc478469e82d3d3fbd92a5999,Шапка женская синяя 39 размер лён,,1,Женская одежда,SZS3RL912,9286,RUB,Российский рубль,"32349f3f52ac42889caf975563bee39e",Большаков Константин Аристархович,1948-02-27,78.0,Ж,+79140380932,KBol_sakov62@yandex.ru,2023-02-08 19:31:07.000 +0300,Россия,Ростовская область,Ростов-на-Дону,Пушкина,д. 39,"655364"
"1242847124d24fe8bbb66d1ec2acab80",Куртка женская зелная размер M натуральный хлопок,Куртка женская зелная размер M натуральный хлопок,1,Женская одежда,KZZRMNH211,8149,RUB,Российский рубль,"008b4ba4125b4806abc059fa130f7aa5",Доризо Николай Константинович,1935-06-03,91.0,Ж,+79089293425,NDorizo34@ya.ru,2023-05-12 22:23:54.000 +0300,Россия,Калининградская область,г. Калининград,Рабочая,д. 133,"930526"
c86311fb8ba44db99b6ad2d116fa1b88,Футболка женская синяя размер S полиэстер,,1,Женская одежда,FZSRSP944,7616,RUB,Российский рубль,"008b4ba4125b4806abc059fa130f7aa5",Доризо Николай Константинович,1935-06-03,91.0,Ж,+79089293425,NDorizo34@ya.ru,2023-05-12 22:23:54.000 +0300,Россия,Калининградская область,г. Калининград,Рабочая,д. 133,"930526"
"06808c5dc88841c8863758e9407352ef",Кепка мужская зелная 36 размер полиэстер,Кепка мужская зелная 36 размер полиэстер,0,Мужская одежда,KMZ3RP870,608,RUB,Российский рубль,a6ba2b12a62a447083672e35c65e38dd,Нельдихен Сергей Евгеньевич,1977-02-19,49.0,М,+79069771740,,2024-02-08 17:31:53.000 +0300,Россия,Владимирская область,г. Владимир,улица Ленина,д. 178,"881499"
"47edac3e8b854d65904a40d9d82375a9",Ночнушка мужская голубая размер S вискоза,,0,Мужская одежда,NMGRSV856,2770,RUB,Российский рубль,a6ba2b12a62a447083672e35c65e38dd,Нельдихен Сергей Евгеньевич,1977-02-19,49.0,М,+79069771740,,2024-02-08 17:31:53.000 +0300,Россия,Владимирская область,г. Владимир,улица Ленина,д. 178,"881499"
"608f4f2ddacb420fad9dba6aa4d37e9e",Толстовка мужская синяя размер M полиэстер,,0,Мужская одежда,TMSRMP941,5055,RUB,Российский рубль,a6ba2b12a62a447083672e35c65e38dd,Нельдихен Сергей Евгеньевич,1977-02-19,49.0,М,+79069771740,,2024-02-08 17:31:53.000 +0300,Россия,Владимирская область,г. Владимир,улица Ленина,д. 178,"881499"
b5b5a324b5374a43bafa5a1fdd800b33,Футболка мужская розовая 36 размер полиэстер,Футболка мужская розовая 36 размер полиэстер,0,Мужская одежда,FMR3RP600,2293,RUB,Российский рубль,a6ba2b12a62a447083672e35c65e38dd,Нельдихен Сергей Евгеньевич,1977-02-19,49.0,М,+79069771740,,2024-02-08 17:31:53.000 +0300,Россия,Владимирская область,г. Владимир,улица Ленина,д. 178,"881499"
b9099ebeef8e49e893b238abfd5c1960,Пижама женская розовая 39 размер полиэстер,,1,Женская одежда,PZR3RP809,955,RUB,Российский рубль,a6ba2b12a62a447083672e35c65e38dd,Нельдихен Сергей Евгеньевич,1977-02-19,49.0,М,+79069771740,,2024-02-08 17:31:53.000 +0300,Россия,Владимирская область,г. Владимир,улица Ленина,д. 178,"881499"
d35f8e6c1585485b98d0ebc576b26a88,Ночнушка женская бежевая размер XS вискоза,,1,Женская одежда,NZBRXV126,2073,RUB,Российский рубль,a6ba2b12a62a447083672e35c65e38dd,Нельдихен Сергей Евгеньевич,1977-02-19,49.0,М,+79069771740,,2024-02-08 17:31:53.000 +0300,Россия,Владимирская область,г. Владимир,улица Ленина,д. 178,"881499"
d743fb6823154731ae9c316039324a3b,Ветровка мужская розовая 36 размер полиэстер,Ветровка мужская розовая 36 размер полиэстер,0,Мужская одежда,VMR3RP573,494,RUB,Российский рубль,a6ba2b12a62a447083672e35c65e38dd,Нельдихен Сергей Евгеньевич,1977-02-19,49.0,М,+79069771740,,2024-02-08 17:31:53.000 +0300,Россия,Владимирская область,г. Владимир,улица Ленина,д. 178,"881499"
"3723eaef1f0a4e20817d2d91b801c5e8",Ветровка мужская оранжевая размер XXXL натуральный хлопок,,0,Мужская одежда,VMORXNH896,2982,RUB,Российский рубль,e37cc397e81a4bf2ae14456fa2e101d9,Мей Лев,1956-06-02,70.0,М,+79195548340,LMei21@mail.ru,2023-05-17 08:10:50.000 +0300,Россия,Нижегородская область,г. Нижний Новгород,улица Генерала Лизюкова,"65","681310"
"65ebf43a76b04c47a63f7ef2df888da7",Толстовка женская жёлтая 32 размер натуральный хлопок,Толстовка женская жёлтая 32 размер натуральный хлопок,1,Женская одежда,TZZ3RNH467,741,RUB,Российский рубль,e37cc397e81a4bf2ae14456fa2e101d9,Мей Лев,1956-06-02,70.0,М,+79195548340,LMei21@mail.ru,2023-05-17 08:10:50.000 +0300,Россия,Нижегородская область,г. Нижний Новгород,улица Генерала Лизюкова,"65","681310"
dfb62f6b63c84d0cac8dbb135efe6bdc,Шапка мужская розовая 33 размер натуральная шерсть,Шапка мужская розовая 33 размер натуральная шерсть,0,Мужская одежда,SMR3RNS889,7367,RUB,Российский рубль,e37cc397e81a4bf2ae14456fa2e101d9,Мей Лев,1956-06-02,70.0,М,+79195548340,LMei21@mail.ru,2023-05-17 08:10:50.000 +0300,Россия,Нижегородская область,г. Нижний Новгород,улица Генерала Лизюкова,"65","681310"
f043581fc06b4b1fa2a517865f273899,Шапка детская зелная размер L натуральный хлопок,Шапка детская зелная размер L натуральный хлопок,2,Детская одежда,SDZRLNH828,2506,RUB,Российский рубль,e37cc397e81a4bf2ae14456fa2e101d9,Мей Лев,1956-06-02,70.0,М,+79195548340,LMei21@mail.ru,2023-05-17 08:10:50.000 +0300,Россия,Нижегородская область,г. Нижний Новгород,улица Генерала Лизюкова,"65","681310"
"9b04c82b013f41aebaa36ac9bc09fb52",Пижама мужская зелная размер L натуральная шерсть,,0,Мужская одежда,PMZRLNS405,2265,RUB,Российский рубль,affb55a5728f4a60b6814a9292a1ab85,Мережковский Дмитрий Сергеевич,1958-02-19,68.0,М,+79847456336,,2023-02-03 04:20:44.000 +0300,Россия,Тамбовская область,город Тамбов,улица Рабочая,"134","512493"
e2cf80ce74e14c3789547a068808914d,Майка детская розовая размер L натуральная шерсть,,2,Детская одежда,MDRRLNS451,6883,RUB,Российский рубль,affb55a5728f4a60b6814a9292a1ab85,Мережковский Дмитрий Сергеевич,1958-02-19,68.0,М,+79847456336,,2023-02-03 04:20:44.000 +0300,Россия,Тамбовская область,город Тамбов,улица Рабочая,"134","512493"
"43b1c35c3f66460a931a4cab4e90fe6d",Ночнушка мужская розовая 32 размер вискоза,Ночнушка мужская розовая 32 размер вискоза,0,Мужская одежда,NMR3RV165,315,RUB,Российский рубль,"6e2d8dbd0d494d8b901480e256d61ec2",Зиновьев Николай,1975-11-12,50.0,М,+79193775731,NZinov_ev98@ya.ru,2023-10-31 21:15:27.000 +0300,Россия,Саратовская область,Саратов,улица Ленина,д. 123,"127309"
